lib_name,version,commit_hash,author,commentary,date,link,is_present
ssri,^5.2.2,6474a9d28ff37b757dc9eae4c4ef0f06191b6c32,Kosilo,1.0.2,2019-02-13T11:24:45+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,a039df83b3bcf204a4da114a6937e006f458153e,(a.k.a,1.0.2,2019-02-12T20:45:35+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,09608f0b4039aeac89120da213f49962c3bf35f2,root),Fixing-Control.Attribution.js,2019-02-12T20:42:43+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,a0ed173cc78d203e23ac70f17b157433e920bd06,Pavel,Fixing-Control.Attribution.js,2019-02-12T20:41:45+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,93ed40390728fec3118bee3ab8022c91d2260489,Kosilo,1.0.1,2019-02-12T19:52:53+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,d49262c7a587b8c5a4d13497bf3102383105c0c3,(a.k.a,Update-package.json,2019-02-12T15:18:14+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,f8e5ffb25872e216b69f454a58b094d298305cc6,root),Update-LICENSE,2019-02-10T15:24:46+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,68becb1ece8ef7692604dd9457513bb88334f9af,Pavel,Removing-TravisCI-badge,2019-01-25T22:45:40+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,57fd75f89cbf56144e271b815a9ade91aa09fbee,Kosilo,Fixes,2019-01-25T22:44:24+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,260535e5e2411649cfaa8d768f72bf7fe26db3fb,(a.k.a,Fixes,2019-01-25T22:42:37+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,2f715a0d0ba54c0f68150f7d696513c8951e0367,root),Updating-CI-script,2019-01-25T22:40:43+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,bcc0d93b8a8dda164a9dde8dd41a7e9f8e07ce25,Pavel,Updating-CI-script,2019-01-25T22:38:54+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,bd95ebfb82635b17d01d3933d7a6fefecd6eaf46,Kosilo,Adding-CI,2019-01-25T22:26:31+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,1e0d755c850c47d5f66d612731fb2bf55014a807,(a.k.a,Doing-todos-and-removing-old-todos,2019-01-25T22:20:44+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,8af37899f62a41fae08ca1e464558835e64467d7,root),Website-edit-page-bug-fixing,2018-12-11T19:05:01+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,65554dde41a78f05a806b60f6debed09c641b6cf,Pavel,Website-edit-page-bug-fixing,2018-12-11T19:03:10+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,ff3225dec6f59e111173adb7029a7b023d8861b5,Kosilo,Little-upds,2018-12-11T18:00:34+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,40c1851bc2755f326b4253f041b42432a899860a,(a.k.a,Travis-CI-cUrl-HTTPS-fu-u-u-u-u-n,2018-12-10T23:01:51+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,8257e5d88d74546a8183849fd80e9d3c54770d00,root),Docs-fix,2018-12-10T22:51:46+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,f82398aa1f02bc5123e5102df17809cb1d2e611c,Pavel,Docs-fix,2018-12-10T22:36:56+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,fdc3a97f89be4a7f2f29536cfd65fbbe5199cb4c,Kosilo,Docs-fix,2018-12-10T22:34:48+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,8f9e0d3476e2e5af65081d409ce366ac82e349bd,(a.k.a,Changing-permanent-mark-Leaflet-to-Cartographer,2018-12-10T22:33:33+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,4ded8cddbb4a074d972821ee2774875a65336138,root),Large-documentation-editing,2018-12-10T22:23:59+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,e37d125265b466f16f37386a1d5062c246e52d23,Pavel,removing-deprecated-_flat-from-LineUtil,2018-12-10T21:56:53+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,3319bb987877aeb78c39617c98827761960517a8,Kosilo,deprecated-things-are-removed-and-it-works,2018-12-10T20:20:55+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,de42b3d448f4237ba682d4d20de0a591e124e052,(a.k.a,Docs-editing,2018-12-10T19:48:28+03:00,https://github.com/IntelligentMap/Cartographer,YES
ssri,^5.2.2,b19d8b2157b361aa442e6c94e8951148dd785b37,root),Some-documentation-fixes,2018-12-10T18:57:31+03:00,https://github.com/IntelligentMap/Cartographer,YES
